,COST_CENTER_VALUES
0,DE0134
1,CH0144
2,DE0112
3,DE0384
4,DE0277
5,DE0075
6,CH0133
7,DE0853
8,PT0091
9,SK0712
0,PL0621
1,FR0033
2,BE0040
3,DE0448
4,BE0329
5,FR0317
6,DE0187
7,PT0310
8,FR105054
9,DE0308
0,FR0069
1,DE0481
2,AT102732
3,NL0084
4,DE0031
5,DE0118
6,AT0034
7,DE0109
8,DE0803
9,SI102710
0,HR0853
1,BE0040
2,CZ102710
3,SK0706
4,AT104010
5,AT0026
6,NL0030
7,AT0031
8,AT0028
9,RO0450
0,DE0515
1,DE104802
2,PL0667
3,DE0061
4,HU0530
5,FR0305
6,RO0449
7,SK115059
8,DE0523
9,PL0921
0,ES0108
1,ES0131
2,DE0575
3,AT0046
4,DE0510
5,DE0367
6,DE2168
7,BE0061
8,FR0134
9,RO0441
